#DeCS_code	Term_Spanish	Synonyms
23	abortivos no esteroideos	Abortivos no Esteroideos|Abortivos no Esteroides|Agentes Abortivos no Esteroideos|Agentes Abortivos no Esteroides|abortivos no esteroides
24	abortivos esteroideos	Abortivos Esteroideos|Abortivos Esteroides|Agentes Abortivos Esteroideos|Agentes Abortivos Esteroides|abortivos esteroides
25	aborto espontáneo	Aborto Espontáneo|Aborto Natural|Aborto Tubario|Abortos Espontáneos|Abortos Tubarios|Pérdida Precoz del Embarazo|Pérdida Temprana del Embarazo|Pérdidas Precoces del Embarazo|Pérdidas Tempranas de los Embarazos
26	aborto criminal	Aborto Criminal|Aborto Ilegal|aborto ilegal
27	aborto eugenésico	Aborto Eugénico
28	aborto habitual	Aborto Espontáneo Recurrente|Aborto Habitual|Aborto Recurrente|Pérdida Recurrente del Embrión|aborto de repetición|aborto espontáneo recurrente|aborto recurrente|pérdida prematura recurrente del embarazo
29	aborto incompleto	Aborto Incompleto
30	aborto inducido	Aborto Inducido|Aborto Provocado|Embriotomía|Tasa de Aborto|Tasa de Abortos|aborto provocado|embriotomía|tasa de abortos|Índice de Aborto|Índice de Abortos
31	aborto legal	Aborto Legal|Aborto por Demanda|aborto por demanda
32	aborto retenido	Aborto Frustrado|Aborto Retenido|aborto frustrado
33	aborto séptico	Aborto Séptico
34	aborto terapéutico	Aborto Terapéutico
35	aborto veterinario	Aborto Veterinario
37	amenaza de aborto	Amenaza de Aborto|Amenaza de Aborto Involuntario|amenaza de aborto involuntario
38	abreacción	Abreacción
39	abrina	Abrina
40	desprendimiento prematuro de la placenta	Abruptio Placentae|Desprendimiento Placentario|Desprendimiento Prematuro de la Placenta|abruptio placentae|desprendimiento placentario|desprendimiento placentario prematuro
41	absceso	Absceso
44	absentismo laboral	Absentismo|Absentismo Laboral|Abstencionismo|Ausencia|Ausentismo|absentismo|ausencia laboral|ausentismo
45	absorción	Absorción
46	resumen e indización como asunto	Indexación como Asunto|Indexación como Tema|Indización como Asunto|Indización como Tema|Resumen como Asunto|Resumen como Tema|Resumen e Indexación como Asunto|Resumen e Indexación como Tema|Resumen e Indización como Asunto|Resumen e Indización como Tema|indexación como asunto|indización como asunto|resumen como asunto|Índices como Asunto|Índices como Tema
48	Acacia	Acacia Australiana
49	centros médicos académicos	Centros Médicos Académicos|Centros Médicos Universitarios|centros médicos universitarios
50	academias e institutos	Academias e Institutos|Institutos|Institutos de Investigación|institutos|institutos de investigación
51	Acanthocephala	Acantocéfalos|Gusanos de Cabeza Espinosa|acantocéfalos|gusanos de cabeza espinosa
52	Dipetalonema	-
53	infecciones por Dipetalonema	Dipetalonemiasis|Infecciones por Dipetalonema|dipetalonemiasis
54	acantocitos	Acantocitos
56	acantosis nigricans	Acantosis Nigricans
58	ácaros y garrapatas	Acari|Acarina|Ácaros y Garrapatas
59	aceleración	Aceleración
60	nervio accesorio	Nervio Accesorio|Nervio Craneal XI|Nervio Espinal Accesorio|Onceavo Nervio Craneal|XI Nervio Craneal|XI Par Craneal|XI nervio craneal|XI par craneal|nervio espinal accesorio|onceavo nervio craneal
61	prevención de accidentes	Prevención de Accidentes
62	propensión a los accidentes	Propensión a Accidentes
68	aclimatación	Aclimación|Aclimatación
69	acomodación ocular	Acomodación Ocular
70	contabilidad	Contabilidad
71	contabilidad de pagos y cobros	Contabilidad de Pagos y Cobros
72	acreditación	Acreditación
73	aculturación	Aculturación
74	acebutolol	Acebutolol
76	acedapsona	Acedapsona|Acetildifenazono|DADDS|Diacetildapsona|acetildifenazona|diacetildapsona
77	acenaftenos	Acenaftenos
78	acenocumarol	Acenocumarina|Acenocumarol|Nicumalona|acenocumarina|nicumalona
79	acepromacina	Acepromacina|Acepromazina|Acetacina|Acetazina|Acetilpromacina|Acetilpromazina|Acetopromacina|Acetopromazina|acepromazina|acetazina|acetilpromazina|acetoprommazina
80	Acetabularia	-
81	acetábulo	Acetábulo|cavidad cotiloidea|cótilo
83	acetaldehído	Acetaldehído
84	acetales	Acetales
85	acetamidas	Acetamidas|acetamida
86	acetaminofén	Acetamidofenol|Acetaminofeno|Acetaminofén|Hidroxiacetanilida|Paracetamol|acetamidofenol|hidroxiacetanilida|paracetamol
87	acetanilidas	Acetanilidas|acetanilida
88	acetato cinasa	Acetato Quinasa
89	acetatos	Acetatos|Ésteres del Ácido Acético|ésteres del ácido acético
91	acetazolamida	Acetazolamida
95	anhídridos acéticos	Anhídridos Acéticos|óxido acético|óxido de acetilo
96	acetoacetatos	Acetoacetatos
97	acetohexamida	Acetohexamida
98	acetoína	Acetilmetilcarbinol|Acetoína|acetilmetilcarbinol
99	acetoina deshidrogenasa	Acetoina Deshidrogenasa|Diacetil Reductasa|diacetil reductasa|diacetilo reductasa
100	acetolactato sintasa	Acetolactato Sintasa|Acetolactato Sintetasa|Sintetasa del Ácido Acetohidroxi|acetohidroxiácido sintasa|acetohidroxiácido sintetasa|acetolactato sintetasa|Ácido Acetohidroxi Sintasa|Ácido Acetohidroxi Sintetasa
101	2-acetolactato mutasa	2-Acetohidroxi-3-Cetoácido Isomerorreductasa|2-Acetolactato Mutasa|2-acetohidroxi 3-cetoácido isomeroreductasa|Reductoisomerasa del Ácido Acetohidroxi|ácido acetohidroxi reductoisonerasa
103	acetona	Acetona
104	acetonitrilos	Acetonitrilos|Cianometanos|Metil Cianidas|Nitrilo Etanos|cianometanos|etano nitrilos|metilo cianidas
106	acetofenonas	Acetofenonas
107	acetoxiacetilaminofluoreno	Acetoxiacetamidofluoreno|Acetoxiacetilaminofluoreno|Acetoxifluorenilacetamida|acetoxiacetamidofluoreno|acetoxifluorenilacetamida
108	ácido acetrizoico	Ácido Acetrizoico
109	acetil-CoA C-acetiltransferasa	Acetil-CoA Acetiltransferasa|Acetil-CoA C-Acetiltransferasa|Acetilcoenzima A Acetiltransferasa|Acetoacetil CoA Tiolasa|acetil CoA acetiltransferasa|acetil-coenzima A acetiltransferasa|acetoacil CoA tiolasa
110	acetil-CoA C-aciltransferasa	3-Cetoacil CoA Tiolasa|3-Cetotiolasa|3-cetoacil-CoA tiolasa|3-cetotiolasa|Acetil CoA Aciltransferasa|Acetil-CoA C-Aciltransferasa|Acetilcoenzima A Aciltransferasa|acetil-CoA aciltransferasa|acetil-coenzima A aciltransferasa|beta-cetotiolasa|betacetotiolasa
111	acetil-CoA carboxilasa	Acetil-CoA Carboxilasa|Acetilcoenzima A Carboxilasa|acetil-coenzima A carboxilasa
112	acetil-CoA hidrolasa	Acetil-CoA Acilasa|Acetil-CoA Deacilasa|Acetil-CoA Desacilasa|Acetil-CoA Hidrolasa|Acetil-Coenzima A Hidrolasa|acetil coenzima A acilasa|acetil coenzima A hidrolasa|acetil-CoA acilasa|acetil-CoA desacilasa|acetil-coenzima A desacilasa|acetil-coenzima A hidrolasa
113	acetil coenzima A	Acetil CoA|Acetilcoenzima A|acetil CoA
114	acetato-CoA ligasa	Acetato CoA Ligasa|Acetato Tiocinasa|Acetato Tioquinasa|Acetil CoA Sintetasa|Enzima Activadora de Acetilo|acetato tiocinasa|acetil-CoA sintetasa|enzima activadora de acetilo
115	2-acetilaminofluoreno	2-Acetamidofluoreno|2-Acetilaminofluoreno|2-acetilamidofluoreno|2-fluorenilacetamida|Fluoren-2-ilacetamido
116	acetilación	Acetilación
117	acetilcarnitina	Acetil Carnitina|Acetilcarnitina|Medosan|acetil carnitina
119	acetilcolinesterasa	Acetilcolinesterasa
120	acetilcisteína	Acetilcisteína|Ácido Mercapturico|ácido mercaptúrico
121	acetildigitoxinas	Acetildigitoxinas|Desglucolanatosidos A|desglucolanatósidos A
122	acetildigoxinas	Acetildigoxinas|Desglucolanatosidos C|desglucolanatósidos C
123	acetileno	Acetileno
124	acetilesterasa	Acetilasa|Acetilesterasa|acetilasa
125	acetilgalactosamina	Acetilgalactosamina
126	acetilglucosamina	Acetilglucosamina
127	acetilglucosaminidasa	Acetilglucosaminidasa|N-Acetil-beta-D-glucosaminidasa|N-acetil-beta-D-glucosaminidasa
130	acecainida	Acecainida|Acetilprocainamida|acetilprocainamida
131	acetiltiocolina	Acetiltiocolina
132	acetiltransferasas	Acetiltransferasas
133	logros	Logro
134	tendón calcáneo	Tendón Calcáneo|Tendón de Aquiles|tendón de Aquiles
135	aclorhidria	Achylia Gástrica|Aclorhidria|Hipoclorhidria|aquilia gástrica|hipoclorhidria
136	Acholeplasma	-
137	Acholeplasma laidlawii	Mycoplasma laidlawii
138	Acholeplasmataceae	-
139	acondroplasia	Acondroplasia|Acondroplasia Severa con Retraso del Desarrollo y Acantosis Nigricans|acondroplasia severa con retraso del desarrollo y acantosis nigricans
143	equilibrio ácido-base	Anión Gap|Equilibrio Acidobásico|Equilibrio Ácido-Base|Equilibrio Ácido-Básico|anión gap|equilibrio acido-básico|equilibrio ácidobasico
144	desequilibrio acidobásico	Desequilibrio Acidobásico|Desequilibrio Ácido-Base|Desequilibrio Ácido-Básico|desequilibrio ácido-base|desequilibrio ácido-básico
145	grabado ácido dental	Grabado Ácido Dental
146	fosfatasa ácida	Fosfatasa Ácida
147	acidosis	Acidosis
149	acidosis tubular renal	Acidosis Renal Tubular|Acidosis Tubular Renal|Acidosis Tubular Renal Tipo I|Acidosis Tubular Renal Tipo II|Acidosis Tubular Renal de Tipo I|Acidosis Tubular Renal de Tipo II|Acidosis de los Túbulos Renales|acidosis de los túbulos renales|acidosis renal tubular|acidosis tubular renal de tipo I|acidosis tubular renal de tipo II|acidosis tubular renal distal|acidosis tubular renal proximal|acidosis tubular renal tipo I|acidosis tubular renal tipo II
150	acidosis respiratoria	Acidosis Respiratoria
151	ácidos	Ácidos
152	ácidos acíclicos	Ácidos Acíclicos
153	ácidos aldehídicos	Ácidos Aldehídicos
154	ácidos carbocíclicos	Ácidos Carbocíclicos
155	ácidos heterocíclicos	Ácidos Heterocíclicos
156	ácidos no carboxílicos	Ácidos Nocarboxílicos|Ácidos no Carboxílicos
157	fluoruro de fosfato acidulado	Fluoruro de Fosfato Acidulado|flúor fosfato acidulado
158	Acinetobacter	Herellea|Mima
160	acné queloide	Acné Queloidal|Acné Queloide|acné queloideo
161	aconitato hidratasa	Aconitasa|Aconitato Hidratasa|Citrato Hidroliasa|Isocitrato Hidroliasa|aconitasa|isocitrato hidroliasa
163	ácido aconítico	Ácido Aconítico
164	aconitina	Acetilbenzoilaconina|Aconitina|acetilbenzoilaconina
165	pruebas de impedancia acústica	Audiometría de Impedancia|Pruebas de Impedancia Acústica|Tests de Impedancia Acústica|Tests de Impedancia Electroacustica|Timpanometría|audiometría de impedancia|prueba de impedancia electroacústica|pruebas de impedancia electroacústica|timpanometría
166	nervio vestibulococlear	Nervio Craneal VIII|Nervio Vestibulococlear|Octavo Nervio Craneal|VIII Nervio Craneal|VIII Par Craneal|VIII nervio craneal|VIII par craneal|nervio estatoacústico|octavo nervio craneal
167	enfermedades del nervio vestibulococlear	Enfermedades Craneales del VIII Nervio|Enfermedades del Nervio Acústico|Enfermedades del Nervio Coclear|Enfermedades del Nervio Vestibular|Enfermedades del Nervio Vestibulococlear|Enfermedades del VIII Nervio Craneal|Enfermedades del VIII Par Craneal|enfermedades del VIII nervio craneal|enfermedades del VIII par craneal|enfermedades del nervio acústico|enfermedades del nervio coclear|enfermedades del nervio vestibular
168	estimulación acústica	Estimulación Acústica|Estimulación Auditiva|estimulación auditiva
169	acústica	Acústica
171	naranja de acridina	Acridina Naranja|Diamina Acridina Tetrametil|Naranja de Acridina|diamina de tetrametilacridina|naranja acridina
172	acridinas	Acridinas
173	acriflavina	Acriflavina|Xantacridino|xantacridina
174	acrocefalosindactilia	Acrocefalosindactilia|Síndrome de Apert|Síndrome de Pfeiffer|Síndrome de Saethre-Chotzen|síndrome de Apert|síndrome de Pfeiffer|síndrome de Saethre-Chotzen
175	acrodermatitis	Acrodermatitis|Acrodermatitis Papular Infantil|Síndrome de Gianotti-Crosti|acrodermatitis papular infantil|acrodermatitis papulosa de la infancia|síndrome de Gianotti-Crosti
176	acrodinia	Acrodinia|Enfermedad Rosada|Enfermedad de Feer|Enfermedad de Swift|enfermedad de Feer|enfermedad de Swift|enfermedad rosada
177	acroleína	Acroleína
178	acromegalia	Acromegalia|Síndrome de Hipersecreción de Somatotropina (Acromegalia)|Síndrome de Secreción Inapropiada de Hormona del Crecimiento (Acromegalia)|síndrome de hipersecreción de somatotropina (acromegalia)|síndrome de secreción inapropiada de hormona del crecimiento (acromegalia)
179	articulación acromioclavicular	Arco Acromiocoracoideo|Arco Coracoacromial|Articulación Acromioclavicular|Ligamento Acromiocoracoideo|Ligamento Coracoacromial|arco acromiocoracoideo|ligamento acromiocoracoideo
180	acromion	Acromion|Apófisis Acromial|Proceso Acromial|Proceso Acromión|apófisis acromial|proceso acromial
181	acrosoma	Acrosoma
182	acronina	Acronicina|Acronina|acronicina
184	acrilamidas	Acrilamidas
185	acrilatos	Acrilatos
186	resinas acrílicas	Resinas Acrílicas
187	acrilonitrilo	Acrilonitrilo|Cianuro de Vinilo|Vinil Cianuro|cianuro de vinilo
188	síndrome de ACTH ectópico	Síndrome de ACTH Ectópico|Síndrome de Secreción Ectópica de ACTH|síndrome de secreción ectópica de ACTH
189	actihemil	Actiemil|Solcoseril|solcoseril
190	actuación (psicología)	Actuación (Psicología)|paso al acto
191	actinina	Actinina|actinina alfa|alfa-Actinina|alfa-actinina
193	actinobacilosis	Actinobacilosis
195	infecciones por Actinobacillus	Infecciones por Actinobacillus
198	Actinomyces	-
199	Actinomycetaceae	-
200	Actinomycetales	Corynebacteriaceae|Grupo Corineforme|Grupo Coryneforme|grupo corineforme
201	infecciones por Actinomycetales	Infecciones por Actinomicetos|Infecciones por Actinomycetales|infecciones por actinomicetos
204	actinomicosis	Actinomicosis|Infecciones por Actinomyces|infecciones por Actinomyces
205	actinomicosis cervicofacial	Actinomicosis Cervicofacial
208	potenciales de acción	Potenciales de Acción|Potenciales de Espiga|potenciales en espiga
210	análisis de radiactividad	Análisis de Activación|Análisis de Radiactividad|Análisis de Radioactividad|Análisis de la Radiactividad|Análisis por Activación|análisis de la radiactividad|análisis de radioactividad
211	aparatos activadores	Activadores|Aparato de Andresen|Aparatos Activadores|Aparatos Activadores de Ortodoncia|Bionator|activadores|aparato de Andresen|aparatos activadores de ortodoncia
212	actividades de la vida diaria	ABVD|ADL|AVD|Actividades Cotidianas|Actividades Diarias|Actividades de la Vida Diaria|Limitación Crónica de la Actividad|actividades básicas de la vida diaria|actividades cotidianas|actividades diarias|limitación crónica de la actividad|limitación de la actividad crónica
213	ciclos de actividad	Ciclos de Actividad
214	actinomiosina	Actomiosina
220	aciclovir	Acicloguanosina|Aciclovir|acicloguanosina
221	proteína portadora de acilos	Proteína Transportadora de Acilo
222	acil coenzima A	Acil CoA|Acil CoA Grasa|Acil CoA de Cadena Larga|Acilcoenzima A|acil CoA|acil CoA de cadena larga|acil CoA de ácidos grasos|acil CoA grasa
223	acilación	Acilación
224	N-acilneuraminato citidiltransferasa	Acilneuraminato Citidililtransferasa|CMP Sialato Pirofosforilasa|CMP Sialato Sintasa|CMP sialato pirofosfatasa|CMP sialato sintasa|CMP-N-acetilneuramínico sintetasa|N-Acilneuraminato Citidililtransferasa|Sintetasa del Ácido CMP-N-Acetilneuramínico|acilneuraminato citidiltransferasa
225	aciltransferasas	Aciltransferasas
226	adamantano	Adamantano
227	síndrome de Adams-Stokes	Ataques de Stokes-Adams|Síndrome de Adams-Stokes|ataques de Stokes-Adams
228	adaptación biológica	Adaptación Biológica|Mimetismo|mimetismo
229	adaptación ocular	Adaptación Ocular|Adaptación a la Luz|adaptación a la luz
230	adaptación fisiológica	Adaptación Fisiológica|Plasticidad Adaptativa|Plasticidad Fenotípica|plasticidad adaptativa|plasticidad fenotípica
231	adaptación psicológica	Adaptación Psicológica|Afrontamiento|Ajuste Psicológico|Conducta Adaptativa|Conducta de Afrontamiento|Conducta de Enfrentamiento|Enfrentamiento|Estrategias de Afrontamiento|Estrategias de Enfrentamiento|Habilidades de Afrontamiento|afrontamiento|conducta adaptativa|conducta de afrontamiento
232	enfermedad de Addison	Enfermedad de Addison
233	adenina	Adenina|Vitamina B 4|vitamina B4
234	translocasas mitocondriales de ADP y ATP	Adenina Nucleótido Translocasa|Portador de ADP y ATP|Proteína Translocadora de ADP y ATP|Translocasa de Nucleótido de Adenina|Translocasas Mitocondriales de ADP y ATP|adenina nucleótido translocasa|portador de ADP y ATP|proteína translocadora de ADP y ATP|translocasa de nucleótido de adenina
235	nucleótidos de adenina	Fosfatos de Adenosina|Nucleótidos de Adenina|fosfatos de adenosina
236	adenina fosforribosiltransferasa	AMP Pirofosforilasa|AMP pirofosforilasa|Adenina Fosforribosiltransferasa|Transfosforribosidasa|transfosforribosidasa
238	adenocarcinoma	Adenocarcinoma|Adenocarcinoma Basocelular|Adenocarcinoma Oxífilo|Adenocarcinoma Tubular|Adenocarcinoma de Células Granulares|Adenocarcinomas|Adenoma Maligno|Carcinoma Cribriforme|Carcinoma Tubular|Carcinoma de Células Granulares|adenocarcinoma basocelular|adenocarcinoma de células granulares|adenocarcinoma oxífilo|adenocarcinoma tubular|adenocarcinomas|adenoma maligno|carcinoma cribiforme|carcinoma de células granulares|carcinoma tubular
239	adenocarcinoma papilar	Adenocarcinoma Papilar
240	adenofibroma	Adenofibroma
241	adenoidectomía	Adenoidectomía
242	tonsila faríngea	Adenoides|Amígdala Faríngea|Tonsila Faríngea|Tonsilas Faríngeas|adenoides|amígdala faríngea|amígdalas faríngeas|tonsilas faríngeas
243	adenolinfoma	Adenocistoma Papilar Linfomatoso|Adenolinfoma|Cistadenoma Linfomatoso Papilar|Cistoadenoma Linfomatoso Papilar|Tumor de Warthin|adenocistoma papilar linfomatoso|cistadenoma linfomatoso papilar|cistoadenoma linfomatoso papilar|tumor de Warthin
244	adenoma	Adenoma|Adenoma Basocelular|Adenoma Folicular|Adenoma Microcístico|Adenoma Monomórfico|Adenoma Papilar|Adenoma Trabecular|adenoma basocelular|adenoma folicular|adenoma microquístico|adenoma monomorfo|adenoma monomórfico|adenoma papilar|adenoma trabecular
246	adenoma cromófobo	Adenoma Cromófobo
249	adenosina	Adenosina
251	adenosina desaminasa	Adenosina Aminohidrolasa|Adenosina Desaminasa|Adenosindeaminasa|Adenosindesaminasa|Adenosín Desaminasa|Adenosín-Desaminasa|Deaminasa de Adenosina|Desaminasa de Adenosina|adenosina aminohidrolasa|adenosindesaminasa
252	difosfato de adenosina	ADP|ADP de magnesio|Adenosina Difosfato|Adenosina Pirofosfato|Adenosín Difosfato|Difosfato de Adenosina|Magnesio ADP|MgADP|Pirofosfato de Adenosina|adenosina difosfato|adenosina pirofosfato
253	glucosa difosfato de adenosina	ADP Glucosa|ADP glucosa|ADPG|Adenosina Difosfato Glucosa|Adenosina Difosfoglucosa|Adenosina Pirofosfatoglucosa|Adenosindifosfato Glucosa|Adenosín Difosfato Glucosa|adenosina difosfato glucosa|adenosina difosfoglucosa|adenosina pirofosfatoglucosa|glucosa de ADP|pirofosfatoglucosa de adenosina
254	ribosa difosfato de adenosina	ADP Ribosa|ADP ribosa|Adenosin Difosfato Ribosa|Adenosina Difosfato Ribosa|Adenosina Difosforribosa|Adenosindifosfato Ribosa|adenosina difosfato ribosa|adenosina difosforribosa|adenosindifosfato de ribosa|difosforribosa de adenosina|ribosa de ADP
255	azúcares de difosfato de adenosina	ADP Azúcares|ADP azúcares|Azúcares de Adenosina Difosfato|Azúcares de Adenosindifosfato|Azúcares de Difosfato de Adenosina|azúcares de adenosina difosfato|azúcares de adenosindifosfato
256	adenosina cinasa	Adenosina Quinasa
257	monofosfato de adenosina	AMP|Adenosina Monofosfato|Adenosín Monofosfato|MFA|Monofosfato de Adenosina|adenosina monofosofato|adenosinmonofosfato|Ácido Adenílico|ácido adenílico
258	fosfosulfato de adenosina	Adenilil-Sulfato|Adenosina Fosfosulfato|Fosfosulfato de Adenosina|Sulfato de Adenilil|Sulfatofosfato de Adenosina|adenilil-sulfato|adenosina fosfosulfato|sulfato de adenililo|sulfatofosfato de adenosina
262	trifosfato de adenosina	ATP|Adenilpirofosfato|Adenosina Trifosfato|Adenosina Trifosfato de Manganeso|Adenosín Trifosfato|CaATP|CrATP|MgATP|MnATP|Sal Crómica de Adenosina Trifosfato|Sal Cálcica de Adenosina Trifosfato|Sal Magnésica de Adenosina Trifosfato|Sal Manganésica de Adenosina Trifosfato|Trifosfato de Adenosina|adenilpirofosfato|adenosina trifosfato|adenosina trifosfato de manganeso|sal crómica de trifosfato de adenosina|sal cálcica de trifosfato de adenosina|sal magnésica de trifosfato de adenosina|sal manganésica de trifosfato de adenosina
263	Adenoviridae	Ichtadenovirus
265	infecciones por adenovirus humanos	Fiebre Faringo-Conjuntiva|Infecciones por Adenovirus Humanos|fiebre faringoconjuntival
267	adenovirus humanos	Adenovirus Humano|Adenovirus Humanos|Virus APC|adenovirus humano|virus APC
268	adenovirus de los simios	Adenovirus de los Simios
269	adenilil ciclasas	Adenil Ciclasa|Adenilato Ciclasa|Adenilil Ciclasas|adenil ciclasa|adenilato ciclasa|adenilato-ciclasa
270	adenilato cinasa	Adenilato Cinasa|Adenilato Quinasa|Miocinasa|Mioquinasa|miocinasa|mioquinasa
271	adenilosuccinato cinasa	Adenilosuccinasa|Adenilosuccinato Liasa|adenilosuccinasa
272	adenilosuccinato sintasa	Adenilosuccinato Sintasa
273	imidodifosfato de adenililo	ATP Gammaimino|ATP gamma-Imino|ATP gamma-imino|ATP gammaimino|Adenil Imidodifosfato|Adenilil Imidodifosfato|Gammaimino-ATP|adenil imidodifosfato|gamma Imino-ATP|gamma imino-ATP|gamma-Imino-ATP|gamma-imino-ATP|gammaimino-ATP|imidodifosfato de adenilo
274	adherencias tisulares	Adherencias Tisulares
275	adhesividad	Adhesividad
276	adhesivos	Adhesivos|Agentes de Unión|Gomas|Mucílagos Adhesivos|Pegamentos|pegamentos
279	adipatos	Adipatos|Ácidos Adípicos|ácidos adípicos
280	tejido adiposo	Tejido Adiposo|Tejido Graso|tejido graso
281	adiposis dolorosa	Adiposis Dolorosa|Enfermedad de Dercum|Lipomatosis Dolorosa|enfermedad de Dercum|lipomatosis dolorosa
282	trastornos de adaptación	Depresión Reactiva|Reacción de Aniversario|Trastorno Situacional Transitorio|Trastornos Reactivos|Trastornos de Adaptación|Trastornos de Ajuste|depresión reactiva|perturbación situacional transitoria|reacción de aniversario|trastornos adaptativos|trastornos reactivos
284	adyuvantes farmacéuticos	Adyuvantes Farmacéuticos|Coagentes Farmacéuticos
286	administración oral	Administración Oral|Administración Oral de Drogas|administración de medicamentos por vía oral
287	administración tópica	Administración Tópica|Administración Tópica de Drogas|administración tópica de medicamentos
288	personal administrativo	Administradores|Personal Administrativo|administradores
289	departamento de admisión hospitalaria	Departamento de Admisión Hospitalaria|Departamento de Admisión en Hospital|Oficina de Admisión en Hospital|Servicio de Admisión Hospitalaria|Servicio de Admisión en Hospital|oficina de admisión hospitalaria|servicio de admisión
290	anexos uterinos	Anexos Uterinos|Apéndices Uterinos|anejos uterinos|apéndices uterinos
291	enfermedades de los anexos	Enfermedades de los Anexos
292	enfermedad inflamatoria pélvica	Anexitis|Enfermedad Inflamatoria Pélvica|anexitis
297	conducta adolescente	Conducta del Adolescente|comportamiento adolescente
299	medicina del adolescente	Efebiatría|Hebiatría|Medicina del Adolescente
300	psiquiatría del adolescente	Psiquiatría del Adolescente
301	psicología del adolescente	Psicología del Adolescente
304	adosterol	6-Yodometilnorcolesterol|6-iodometilnorcolesterol|6-yodometilnorcolesterol|Adosterol|NP-59
305	corteza suprarrenal	Corteza Suprarrenal|corteza adrenal
306	enfermedades de la corteza suprarrenal	Enfermedades de la Corteza Suprarrenal
307	pruebas de función de la corteza suprarrenal	Pruebas de Función de la Corteza Suprarrenal|Tests de Función de la Corteza Suprarrenal|tests de función de la corteza suprarrenal|tests de la función de la corteza suprarrenal
308	hormonas de la corteza suprarrenal	Corticoesteroides|Corticoides|Corticosteroides|Hormonas de la Corteza Suprarrenal|corticoesteroides|corticoides|corticosteroides
309	neoplasias de la corteza suprarrenal	Cáncer Adrenocortical|Cáncer de la Corteza Suprarrenal|Neoplasias de la Corteza Suprarrenal|cáncer adrenocortical|cáncer corticosuprarrenal|cáncer de la corteza suprarrenal|tumores de la corteza suprarrenal
310	enfermedades de las glándulas suprarrenales	Enfermedades de las Glándulas Suprarrenales
311	hiperfunción corticosuprarrenal	Hiperadrenocorticismo|Hipercorticismo|Hiperfunción Adrenocortical|Hiperfunción de la Corteza Suprarrenal|Hiperfunción de las Glándulas Suprarrenales|hiperadrenocorticismo|hipercorticismo|hiperfunción de la corteza suprarrenal
312	insuficiencia suprarrenal	Hipofunción de las Glándulas Suprarrenales|Insuficiencia Adrenocortical|Insuficiencia Suprarrenal|hipofunción de las glándulas suprarrenales
313	neoplasias de las glándulas suprarrenales	Cáncer Suprarrenal|Neoplasias de las Glándulas Suprarrenales|cáncer suprarrenal|tumores de las glándulas suprarrenales
